Title,Price,Available_Colors,Available_Size,Item_Context,Url
Loose Jeans,2199,Dark blue,"28/32,30/32,32/32,33/32,34/32,36/32",None,https://eg.hm.com/en/buy-loose-jeans-dark-blue.html
Regular Fit Cable-knit jumper,1999,White,"S,M,L",None,https://eg.hm.com/en/buy-regular-fit-cable-knit-jumper-white.html
Loose Fit Overshirt,2799,Bright blue,"S,M,L,XL",None,https://eg.hm.com/en/buy-loose-fit-overshirt-bright-blue.html
Regular Fit Ripstop cargo trousers,1999,White,"S,M,L,XL,XXL",Casual,https://eg.hm.com/en/buy-regular-fit-ripstop-cargo-trousers-white.html
Regular Fit Wool-blend jacket,2999,Dark blue,S,None,https://eg.hm.com/en/buy-regular-fit-wool-blend-jacket-dark-blue.html
Relaxed Fit Overshirt,2199,Dark green/Black,"XS,S,M,L,XL,XXL",Casual,https://eg.hm.com/en/buy-relaxed-fit-overshirt-dark-green-black.html
Relaxed Fit Worker trousers,2799,Black,"029,30,031,32,33,34,36",None,https://eg.hm.com/en/buy-relaxed-fit-worker-trousers-black-0.html
Relaxed Fit Worker trousers,1699,Black,"029,031,32",None,https://eg.hm.com/en/buy-relaxed-fit-worker-trousers-black.html
Regular Fit Denim overshirt,1999,Dark denim blue,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-denim-overshirt.html
Relaxed Fit Flannel shirt,1199,Orange/Checked,"S,M,L,XL",Casual,https://eg.hm.com/en/buy-relaxed-fit-flannel-shirt-orange-checked.html
Loose Fit Wool cardigan,2999,Dark beige,"XS,S,M,L,XXL",None,https://eg.hm.com/en/buy-loose-fit-wool-cardigan-dark-beige.html
Regular Fit Windbreaker,1699,Cream,"S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-regular-fit-windbreaker-cream.html
Relaxed Fit Trousers,1699,Beige,"28,30,031,32,33,34,38",None,https://eg.hm.com/en/buy-relaxed-fit-trousers-beige.html
Relaxed Fit Tailored trousers,2799,Greige,"28,33,34",None,https://eg.hm.com/en/buy-relaxed-fit-tailored-trousers-greige.html
Regular Fit Windbreaker,1999,Black,"S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-windbreaker-black.html
Relaxed Fit Appliquéd sweatshirt,899,Cream,"XS,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-appliqued-sweatshirt-cream.html
Slim Fit Cotton chinos,1999,Dark blue,"30/32,31/32,32/30,33/32,33/34,34/32,34/34,36/34",None,https://eg.hm.com/en/buy-slim-fit-cotton-chinos-dark-blue-0.html
Cargo joggers,2199,Dark beige,"S,M,L",None,https://eg.hm.com/en/buy-cargo-joggers-dark-beige-0.html
Regular Fit Tailored twill trousers,2199,Dark grey,"029,30,32,34",None,https://eg.hm.com/en/buy-regular-fit-tailored-twill-trousers-dark-grey.html
Collared jacket,2999,Black,"S,M,L,XL",None,https://eg.hm.com/en/buy-collared-jacket-black.html
