category,title,link,price,default_image,hover_image,colors
hoodies,Loose Fit Half-Zip Sweatshirt,https://www2.hm.com/en_us/productpage.1245648004.html,$ 39.99,assets/hm/5e/33/5e33bd3764735139b84be640c69b243e3f6f3351.jpg,assets/hm/5e/33/5e33bd3764735139b84be640c69b243e3f6f3351.jpg,"['rgb(70, 59, 64);', 'rgb(39, 38, 39);', 'rgb(175, 175, 175);']"
hoodies,Loose-Fit Hooded Jacket,https://www2.hm.com/en_us/productpage.1304459002.html,$ 49.99,assets/hm/7e/85/7e85c0774502b8b270cb0a31f428f4468a251ff2.jpg,assets/hm/7e/85/7e85c0774502b8b270cb0a31f428f4468a251ff2.jpg,"['rgb(165, 165, 165);', 'rgb(39, 38, 39);', 'rgb(43, 44, 50);']"
hoodies,Loose-Fit Hooded Jacket,https://www2.hm.com/en_us/productpage.1304459008.html,$ 49.99,assets/hm/b3/e5/b3e5ce7612d85bb44d3aa94a2a1a17b094c839bd.jpg,assets/hm/b3/e5/b3e5ce7612d85bb44d3aa94a2a1a17b094c839bd.jpg,"['rgb(43, 44, 50);', 'rgb(39, 38, 39);', 'rgb(165, 165, 165);']"
cargo pants,Slim-Fit Cargo Pants,https://www2.hm.com/en_us/productpage.1253393001.html,$ 39.99,assets/hm/0c/8b/0c8bb415255c9083b060efc223ae632e7b884ebe.jpg,assets/hm/0c/8b/0c8bb415255c9083b060efc223ae632e7b884ebe.jpg,"['#272628', '#B5AFA0', '#393C3D']"
cargo pants,Loose-Fit Cargo Pants,https://www2.hm.com/en_us/productpage.1300095001.html,$ 44.99,assets/hm/5c/36/5c3681d04de50dbc60a801bc9eb37614e06fff76.jpg,assets/hm/5c/36/5c3681d04de50dbc60a801bc9eb37614e06fff76.jpg,"['#272627', '#525346', '#393C3D']"
cargo pants,Loose-Fit Cargo Pants,https://www2.hm.com/en_us/productpage.1300095003.html,$ 44.99,assets/hm/b1/20/b12032614ab1045387427949fa4a46be492c4e48.jpg,assets/hm/b1/20/b12032614ab1045387427949fa4a46be492c4e48.jpg,"['#525346', '#272627', '#393C3D']"
jeans,Relaxed Jeans,https://www2.hm.com/en_us/productpage.1316883006.html,$ 34.99,assets/hm/2f/40/2f40aee66d637efc96e1b5358597a8b919703b79.jpg,assets/hm/2f/40/2f40aee66d637efc96e1b5358597a8b919703b79.jpg,"['#3E64A7', '#80AAD8', '#2E3036']"
jeans,Baggy Jeans,https://www2.hm.com/en_us/productpage.1285734001.html,$ 49.99,assets/hm/50/88/50883f3f17cff1b60d067261cf98065fe17453cf.jpg,assets/hm/50/88/50883f3f17cff1b60d067261cf98065fe17453cf.jpg,"['#000000', '#2E3036']"
jeans,Relaxed Bootcut Jeans,https://www2.hm.com/en_us/productpage.1307319005.html,$ 54.99,assets/hm/a4/c1/a4c140ffcfb067c62c9e10966ecf6b254262f557.jpg,assets/hm/a4/c1/a4c140ffcfb067c62c9e10966ecf6b254262f557.jpg,"['#706C6F', '#3E64A7', '#000000']"
t-shirts,Loose-Fit T-Shirt,https://www2.hm.com/en_us/productpage.1330384001.html,$ 24.99,assets/hm/3a/db/3adbef5d45877df60c1aec69ccf0fabae2e81e4c.jpg,assets/hm/3a/db/3adbef5d45877df60c1aec69ccf0fabae2e81e4c.jpg,"['#C8C8C8', '#B1BED7', '#5CAE7E']"
t-shirts,Regular Fit T-shirt,https://www2.hm.com/en_us/productpage.0685816001.html,$ 7.99,assets/hm/bd/e4/bde4ef42f917ccb678c4ff1d218520ce2f10ff6d.jpg,assets/hm/bd/e4/bde4ef42f917ccb678c4ff1d218520ce2f10ff6d.jpg,"['#FFFFFF', '#272628', '#3F3838']"
t-shirts,Regular Fit T-shirt,https://www2.hm.com/en_us/productpage.0685816002.html,$ 7.99,assets/hm/44/42/4442fbac4e3080ec20b2f14e353fea267249b0dd.jpg,assets/hm/44/42/4442fbac4e3080ec20b2f14e353fea267249b0dd.jpg,"['#272628', '#FFFFFF', '#3F3838']"
